date,year,month,day,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5,quarter
2022-09-30,2022,8.0,15.5,0.2026142857142857,0.4377142857142857,0.13545714285714286,-0.08911428571428572,0.27135000000000004,0.20237857142857144,0.38649999999999995,0.23044285714285714,0.21262857142857142,0.28900000000000003,0.17482714285714285,0.11298571428571429,0.2195357142857143,3
2022-12-31,2022,11.076923076923077,16.0,0.051469230769230774,0.21407692307692308,-0.03432307692307693,-0.18558461538461538,0.17961538461538462,0.08805769230769231,0.14536153846153846,0.05446153846153846,0.04393846153846153,0.13100769230769232,0.034699999999999995,-0.034554615384615385,0.17676153846153844,4
2023-03-31,2023,2.076923076923077,15.76923076923077,0.1106746153846154,0.22598923076923078,-0.006859230769230769,-0.11965646153846153,0.31653846153846155,0.1942923076923077,0.21,0.07908461538461539,0.06403846153846154,0.20283846153846155,0.10846538461538462,0.024623076923076928,0.3409384615384615,1
2023-06-30,2023,5.076923076923077,16.307692307692307,0.07728692307692309,0.22283846153846154,-0.010945384615384616,-0.18091538461538462,0.32499999999999996,0.12393846153846154,0.15610000000000002,0.06116923076923077,0.0500823076923077,0.1710846153846154,0.06867384615384615,-0.02734538461538462,0.35092307692307695,2
2023-09-30,2023,8.076923076923077,15.615384615384615,-0.0021619999999999994,0.11583307692307693,-0.1599,-0.2743846153846154,0.20636923076923075,0.07724615384615384,0.16143538461538462,0.05298,0.04047923076923077,0.09864307692307692,-0.048259684615384615,-0.16513076923076925,0.23367153846153846,3
2023-12-31,2023,11.076923076923077,15.0,-0.13629153846153846,-0.05343076923076923,-0.3067692307692308,-0.3549230769230769,0.05493076923076923,-0.08569999999999998,-0.047423076923076915,-0.11459230769230769,-0.12230769230769231,-0.04341992307692308,-0.16364615384615386,-0.25523076923076926,0.04262,4
2024-03-31,2024,2.076923076923077,14.384615384615385,-0.03323076923076923,0.04042769230769231,-0.20514615384615384,-0.24830769230769228,0.17486923076923075,0.0068923076923076915,0.08072076923076922,-0.03735769230769231,-0.051000000000000004,0.09118538461538463,-0.050923076923076925,-0.16322307692307694,0.21726153846153845,1
2024-06-30,2024,5.0,16.692307692307693,-0.04946923076923077,0.0580776923076923,-0.14571538461538464,-0.2956923076923077,0.17222307692307692,-0.08636023076923077,0.02931769230769231,-0.05743076923076922,-0.06743692307692307,0.06028461538461539,-0.06316923076923077,-0.1671923076923077,0.2081923076923077,2
2024-09-30,2024,8.0,16.0,-0.035046153846153845,0.037279999999999994,-0.09865384615384615,-0.2529384615384615,0.17656153846153846,-0.12776153846153845,-0.01821230769230769,-0.06955384615384616,-0.0755,0.10272307692307692,-0.03642769230769231,-0.14933846153846153,0.24256153846153844,3
2024-12-31,2024,11.0,15.307692307692308,-0.0978223076923077,-0.03662092307692307,-0.1773153846153846,-0.2863076923076923,0.0858,-0.2087023076923077,-0.10215923076923075,-0.13085384615384615,-0.1341,0.018911538461538462,-0.09451923076923077,-0.20245384615384615,0.22830923076923076,4
2025-03-31,2025,1.9230769230769231,17.307692307692307,0.014054615384615388,0.0669923076923077,-0.10509999999999999,-0.1825153846153846,0.19817692307692306,-0.060785384615384616,0.07753846153846154,-0.020900000000000005,-0.0322,0.12237692307692308,0.016535384615384615,-0.1087923076923077,0.4629230769230769,1
2025-06-30,2025,5.0,15.692307692307692,0.042499999999999996,0.0864923076923077,-0.08162307692307692,-0.14503846153846153,0.24851538461538458,-0.05720769230769231,0.16376230769230768,0.010990769230769231,-0.006722307692307695,0.16068461538461537,0.0425776923076923,-0.08500769230769231,0.4681538461538462,2
2025-09-30,2025,8.0,15.0,0.10846615384615385,0.09229230769230769,-0.03243,-0.07996769230769231,0.33804615384615383,-0.026015384615384614,0.20430769230769233,0.07092076923076923,0.05558253846153846,0.2578692307692308,0.11002615384615384,-0.02498153846153846,0.49653846153846154,3
2025-12-31,2025,10.923076923076923,16.692307692307693,0.010576153846153846,-0.0041246153846153846,-0.12146153846153845,-0.1499553846153846,0.1363923076923077,-0.10042692307692308,0.06059538461538462,-0.03488461538461539,-0.04583076923076923,0.12393076923076923,0.017863076923076922,-0.10848461538461537,0.47063076923076924,4
2026-03-31,2026,1.4444444444444444,16.22222222222222,0.07418888888888889,0.13877777777777778,-0.0466,-0.14226666666666665,0.19844444444444445,-0.08910000000000001,0.11906666666666668,0.02220411111111111,0.011102222222222225,0.17877777777777779,0.07706666666666667,-0.06521444444444444,0.636311111111111,1
